Year,Time,Tonnes,Topic,Grp,ALL_TOTAL_tonnes,ALL_ANIMAL_tonnes,Prop_TOTAL,Prop_Animal,ID
1973,91,1423063,Aquaculture,Seaweed,3530854405,,0.04,,Aquaculture_Seaweed
1974,92,1682475,Aquaculture,Seaweed,3460320616,,0.05,,Aquaculture_Seaweed
1975,93,1601613,Aquaculture,Seaweed,3522690795,,0.05,,Aquaculture_Seaweed
1976,94,1677954,Aquaculture,Seaweed,3681661669,,0.05,,Aquaculture_Seaweed
1977,95,2159341,Aquaculture,Seaweed,3738268709,,0.06,,Aquaculture_Seaweed
1978,96,2388283,Aquaculture,Seaweed,3978815962,,0.06,,Aquaculture_Seaweed
1979,97,2372464,Aquaculture,Seaweed,3956747095,,0.06,,Aquaculture_Seaweed
1980,98,2640666,Aquaculture,Seaweed,3895198740,,0.07,,Aquaculture_Seaweed
1981,99,2574557,Aquaculture,Seaweed,4088594076,,0.06,,Aquaculture_Seaweed
1982,100,2540491,Aquaculture,Seaweed,4226398116,,0.06,,Aquaculture_Seaweed
1983,101,2864243,Aquaculture,Seaweed,4064136511,,0.07,,Aquaculture_Seaweed
1984,102,3243328,Aquaculture,Seaweed,4432185632,,0.07,,Aquaculture_Seaweed
1985,103,3328768,Aquaculture,Seaweed,4536855775,,0.07,,Aquaculture_Seaweed
1986,104,3503121,Aquaculture,Seaweed,4582830987,,0.08,,Aquaculture_Seaweed
1987,105,3402308,Aquaculture,Seaweed,4535386236,,0.08,,Aquaculture_Seaweed
1988,106,3849091,Aquaculture,Seaweed,4449904377,,0.09,,Aquaculture_Seaweed
1989,107,4167456,Aquaculture,Seaweed,4737915358,,0.09,,Aquaculture_Seaweed
1990,108,3765325,Aquaculture,Seaweed,4858579243,,0.08,,Aquaculture_Seaweed
1991,109,4578493,Aquaculture,Seaweed,4801040039,,0.1,,Aquaculture_Seaweed
1992,110,5801531,Aquaculture,Seaweed,5024670461,,0.12,,Aquaculture_Seaweed
1993,111,6668170,Aquaculture,Seaweed,4975680763,,0.13,,Aquaculture_Seaweed
1994,112,6957897,Aquaculture,Seaweed,5147575791,,0.14,,Aquaculture_Seaweed
1995,113,6849215,Aquaculture,Seaweed,5100204771,,0.13,,Aquaculture_Seaweed
1996,114,7248819,Aquaculture,Seaweed,5458127242,,0.13,,Aquaculture_Seaweed
1997,115,6973610,Aquaculture,Seaweed,5530451561,,0.13,,Aquaculture_Seaweed
1998,116,8050680,Aquaculture,Seaweed,5578892503,,0.14,,Aquaculture_Seaweed
1999,117,8872521,Aquaculture,Seaweed,5682459318,,0.16,,Aquaculture_Seaweed
2000,118,9306042,Aquaculture,Seaweed,5767112343,,0.16,,Aquaculture_Seaweed
2001,119,9710130,Aquaculture,Seaweed,5892242534,,0.16,,Aquaculture_Seaweed
2002,120,10587543,Aquaculture,Seaweed,5882249737,,0.18,,Aquaculture_Seaweed
2003,121,11353327,Aquaculture,Seaweed,6020089250,,0.19,,Aquaculture_Seaweed
2004,122,12646424,Aquaculture,Seaweed,6468503969,,0.2,,Aquaculture_Seaweed
2005,123,13502933,Aquaculture,Seaweed,6467042836,,0.21,,Aquaculture_Seaweed
2006,124,14311776,Aquaculture,Seaweed,6513447958,,0.22,,Aquaculture_Seaweed
2007,125,14972993,Aquaculture,Seaweed,6761532458,,0.22,,Aquaculture_Seaweed
2008,126,15858203,Aquaculture,Seaweed,7125406209,,0.22,,Aquaculture_Seaweed
2009,127,17337986,Aquaculture,Seaweed,7112006931,,0.24,,Aquaculture_Seaweed
2010,128,18992284,Aquaculture,Seaweed,7210668670,,0.26,,Aquaculture_Seaweed
2011,129,20785191,Aquaculture,Seaweed,7522364077,,0.28,,Aquaculture_Seaweed
2012,130,23555401,Aquaculture,Seaweed,7519412867,,0.31,,Aquaculture_Seaweed
2013,131,26862752,Aquaculture,Seaweed,8034598736,,0.33,,Aquaculture_Seaweed
2014,132,27355552,Aquaculture,Seaweed,8238079412,,0.33,,Aquaculture_Seaweed
2015,133,29364625,Aquaculture,Seaweed,7628620178,,0.38,,Aquaculture_Seaweed
2016,134,30139389,Aquaculture,Seaweed,7771419108,,0.39,,Aquaculture_Seaweed
